event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,2023-05-27 05:35:00,2,,,false,5,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,88,false,879W14M427,false,EARLY,22729000,88,63209,true,DOWN,DOWN,DEPARTURE,63201,S
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:00,0,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,, 1,88,false,879S00M527,false,ON TIME,22721000,88,87963,true,UP,UP,ARRIVAL,87927,
ARRIVAL,,,2023-05-27 05:40:30,6,,,true,6,87171,2023-05-27 05:34:00,false,AUTOMATIC,,,84,false,875J07M527,false,EARLY,24676004,84,87171,true,,,ARRIVAL,87181,
ARRIVAL,,,,0,,,false,,,2023-05-27 05:33:00,false,AUTOMATIC,,,84,false,871W51M527,true,OFF ROUTE,24620204,84,87214,,,,ARRIVAL,,
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:00,0,,,true,4,52739,2023-05-27 05:32:00,false,AUTOMATIC,, 1,30,false,522T01M527,false,ON TIME,21235001,30,52739,true,UP,UP,DEPARTURE,52741,S
DEPARTURE,,,2023-05-27 05:35:00,3,,,false,7,00000,2023-05-27 05:32:00,false,AUTOMATIC,, 2,88,false,475T92M527,false,EARLY,21788001,88,47051,true,DOWN,DOWN,DEPARTURE,46275,D
DEPARTURE,,,2023-05-27 05:40:00,7,,,true,2,18443,2023-05-27 05:33:00,false,AUTOMATIC,,,20,false,185M58M527,false,EARLY,21733000,20,18443,true,UP,UP,DEPARTURE,18471,H
ARRIVAL,2023-05-27 05:44:00,,2023-05-27 05:44:00,10,,,true,,04303,2023-05-27 05:34:00,false,AUTOMATIC,,13,60,true,075M19M527,false,EARLY,13560015,60,04303,true,UP,UP,DESTINATION,,
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:33:30,0,,,true,2,04235,2023-05-27 05:33:00,false,AUTOMATIC,, 2,60,false,041A71M527,false,ON TIME,23541003,60,04235,true,DOWN,DOWN,ARRIVAL,04221,
DEPARTURE,,,2023-05-27 05:33:00,0,,,false,2,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,88,false,629V13M427,false,ON TIME,22728000,88,63547,true,UP,UP,DEPARTURE,63551,S
DEPARTURE,,,2023-05-27 05:33:00,0,,,false,,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,21,false,471B01M527,false,ON TIME,21911000,21,47340,true,UP,UP,DEPARTURE,47346,U
DEPARTURE,,,2023-05-27 05:32:00,1,,,false,3,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,25,false,813F05M427,false,LATE,25470001,25,76091,true,DOWN,DOWN,DEPARTURE,76089,D
ARRIVAL,,,2023-05-27 05:34:00,0,,,true,1,36192,2023-05-27 05:34:00,false,AUTOMATIC,,,65,false,361A05M527,false,ON TIME,22109001,65,36192,true,,,ARRIVAL,36401,
ARRIVAL,,,2023-05-27 05:34:00,1,,,true,1,87568,2023-05-27 05:33:00,false,AUTOMATIC,,,30,false,875G03M527,false,EARLY,22216001,30,87568,true,,,ARRIVAL,52088,
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:30,0,,,true,2,88517,2023-05-27 05:32:00,false,AUTOMATIC,, 2,80,false,882E07M527,false,ON TIME,24659005,80,88517,true,DOWN,DOWN,DEPARTURE,88522,
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:00,0,,,true,1,88466,2023-05-27 05:34:00,false,AUTOMATIC,, 2,80,false,881D14M527,false,ON TIME,24657005,80,88466,true,UP,UP,ARRIVAL,88438,
DEPARTURE,,,2023-05-27 06:15:00,42,,,true,4,17053,2023-05-27 05:33:00,false,AUTOMATIC,MPJ,,54,false,176D89C427,false,EARLY,51464580,54,17053,true,DOWN,DOWN,DEPARTURE,17052,M
ARRIVAL,2023-05-27 05:40:00,,2023-05-27 05:40:00,7,,,true,,18449,2023-05-27 05:33:00,false,AUTOMATIC,, 1,23,true,175H02M427,false,EARLY,11868820,23,18449,true,UP,UP,DESTINATION,,
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:35:00,1,,,true,3,23421,2023-05-27 05:34:00,false,AUTOMATIC,, 3,61,false,171A01M527,false,EARLY,21702001,61,23421,true,UP,UP,ARRIVAL,23480,
ARRIVAL,,,,0,,,false,,,2023-05-27 05:33:00,false,AUTOMATIC,,,88,false,545V00M527,true,OFF ROUTE,21788001,88,54297,,,,ARRIVAL,,
DEPARTURE,,,2023-05-27 05:31:30,1,,,true,3,32529,2023-05-27 05:32:00,false,AUTOMATIC,, 1,23,false,321C51M527,false,LATE,12357820,23,32529,true,DOWN,DOWN,DEPARTURE,32526,
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:00,0,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,, 1,23,false,321C51M527,false,ON TIME,12357820,23,32526,true,DOWN,DOWN,ARRIVAL,32515,
DEPARTURE,,,2023-05-27 05:32:00,1,,,false,9,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,61,false,171A02M527,false,LATE,21702001,61,17151,true,UP,UP,DEPARTURE,18067,D
DEPARTURE,,,2023-05-27 05:32:00,0,,,true,2,87222,2023-05-27 05:32:00,false,AUTOMATIC,, 1,88,false,871L02M527,false,ON TIME,24749000,88,87222,true,DOWN,DOWN,DEPARTURE,87616,S
DEPARTURE,,,2023-05-27 05:32:00,0,,,false,2,00000,2023-05-27 05:32:00,false,AUTOMATIC,, 2,27,false,651L26M527,false,ON TIME,22268000,27,66291,true,UP,UP,DEPARTURE,66230,W
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:00,1,,,true,1,04303,2023-05-27 05:32:00,false,AUTOMATIC,, 8,60,false,042P09M527,false,EARLY,23576003,60,04303,true,DOWN,DOWN,DEPARTURE,04291,W
ARRIVAL,,,2023-05-27 05:34:00,1,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,88,false,639O11M527,false,EARLY,22728000,88,87244,true,,,ARRIVAL,87245,
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:30,0,,,true,3,51301,2023-05-27 05:32:00,false,AUTOMATIC,, 3,79,false,522B00M527,false,ON TIME,21936004,79,51301,true,DOWN,DOWN,DEPARTURE,51019,D
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:00,1,,,true,4,52702,2023-05-27 05:32:00,false,AUTOMATIC,, 8,79,false,522D02M527,false,EARLY,24936004,79,52702,true,DOWN,DOWN,DEPARTURE,51531,D
ARRIVAL,,,2023-05-27 05:32:30,2,,,true,1,87801,2023-05-27 05:34:00,false,AUTOMATIC,,,88,false,629W15M327,false,LATE,22720000,88,87801,true,,,ARRIVAL,87901,
DEPARTURE,,,2023-05-27 05:33:30,0,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,28,false,631F03M527,false,ON TIME,22152000,28,63547,true,DOWN,DOWN,DEPARTURE,63449,F
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:34:30,1,,,false,2,00000,2023-05-27 05:33:00,false,AUTOMATIC,, 2,84,false,872S05M527,false,EARLY,24671205,84,87153,true,DOWN,DOWN,ARRIVAL,87152,F
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:34:30,0,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,, 1,84,false,861S08M527,false,ON TIME,24671205,84,86022,true,UP,UP,ARRIVAL,86010,
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:00,1,,,true,1,17132,2023-05-27 05:32:00,false,AUTOMATIC,,16,23,false,172N00M527,false,EARLY,11810920,23,17132,true,UP,UP,DEPARTURE,17131,E
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:00,1,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,, 1,23,false,301Y50M527,false,EARLY,12362822,23,30201,true,UP,UP,ARRIVAL,30213,
DEPARTURE,,,2023-05-27 05:33:00,1,,,true,1,73663,2023-05-27 05:32:00,false,AUTOMATIC,, 1,86,false,731T25M527,false,EARLY,25905000,86,73663,true,DOWN,DOWN,DEPARTURE,73775,M
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:00,1,,,true,7,87004,2023-05-27 05:32:00,false,AUTOMATIC,,U,25,false,741O01M527,false,EARLY,25522007,25,87004,true,UP,UP,DEPARTURE,87011,G
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:35:00,1,,,true,,73000,2023-05-27 05:34:00,false,AUTOMATIC,, 8,25,true,742P04M427,false,EARLY,25506005,25,73000,true,UP,UP,DESTINATION,,
DEPARTURE,,,2023-05-27 05:32:00,0,,,false,9,00000,2023-05-27 05:32:00,false,AUTOMATIC,,,25,false,811A01M527,false,ON TIME,25370002,25,81606,true,UP,UP,DEPARTURE,81501,U
DEPARTURE,,,2023-05-27 05:32:30,1,,,true,1,08413,2023-05-27 05:33:00,false,AUTOMATIC,,,60,false,081K02M527,false,LATE,13573015,60,08413,true,UP,UP,DEPARTURE,08411,B
ARRIVAL,2023-05-27 05:33:00,,2023-05-27 05:33:00,1,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,, 1,60,false,081K02M527,false,LATE,13573015,60,08411,true,UP,UP,ARRIVAL,08401,
DEPARTURE,,,2023-05-27 05:33:30,0,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,21,false,481P03M527,false,ON TIME,21781002,21,48308,true,UP,UP,DEPARTURE,48309,U
